module,method,path,normalized_path,controller_file,line
auth,POST,/auth/sso-sync-user,/auth/sso-sync-user,auth/auth.controller.ts,123
campo,GET,/campo/recorrido/activo,/campo/recorrido/activo,campo/recorrido.controller.ts,43
campo,GET,/campo/recorrido/admin,/campo/recorrido/admin,campo/recorrido.controller.ts,59
campo,POST,/campo/recorrido/finalizar,/campo/recorrido/finalizar,campo/recorrido.controller.ts,17
campo,GET,/campo/recorrido/historial,/campo/recorrido/historial,campo/recorrido.controller.ts,53
campo,POST,/campo/recorrido/iniciar,/campo/recorrido/iniciar,campo/recorrido.controller.ts,9
campo,POST,/campo/recorrido/punto,/campo/recorrido/punto,campo/recorrido.controller.ts,29
campo,POST,/campo/recorrido/puntos-batch,/campo/recorrido/puntos-batch,campo/recorrido.controller.ts,33
campo,GET,/campo/recorrido/puntos/:id,/campo/recorrido/puntos/:param,campo/recorrido.controller.ts,47
clarity,GET,/agenda-recurrente,/agenda-recurrente,clarity/recurrencia.controller.ts,93
clarity,GET,/agenda/:targetCarnet,/agenda/:param,clarity/clarity.controller.ts,161
clarity,POST,/asignaciones,/asignaciones,clarity/clarity.controller.ts,272
clarity,GET,/audit-logs/task/:idTarea,/audit-logs/task/:param,clarity/clarity.controller.ts,224
clarity,POST,/bloqueos,/bloqueos,clarity/clarity.controller.ts,235
clarity,PATCH,/bloqueos/:id/resolver,/bloqueos/:param/resolver,clarity/clarity.controller.ts,246
clarity,POST,/checkins,/checkins,clarity/clarity.controller.ts,65
clarity,GET,/config,/config,clarity/clarity.controller.ts,46
clarity,POST,/config,/config,clarity/clarity.controller.ts,53
clarity,GET,/equipo/actividad,/equipo/actividad,clarity/equipo.controller.ts,115
clarity,GET,/equipo/actividad/:id,/equipo/actividad/:param,clarity/equipo.controller.ts,137
clarity,GET,/equipo/backlog,/equipo/backlog,clarity/equipo.controller.ts,53
clarity,GET,/equipo/bloqueos,/equipo/bloqueos,clarity/equipo.controller.ts,36
clarity,GET,/equipo/hoy,/equipo/hoy,clarity/equipo.controller.ts,30
clarity,GET,/equipo/inform,/equipo/inform,clarity/equipo.controller.ts,42
clarity,GET,/equipo/miembro/:idUsuario,/equipo/miembro/:param,clarity/equipo.controller.ts,59
clarity,GET,/equipo/miembro/:idUsuario/bloqueos,/equipo/miembro/:param/bloqueos,clarity/equipo.controller.ts,93
clarity,GET,/equipo/miembro/:idUsuario/tareas,/equipo/miembro/:param/tareas,clarity/equipo.controller.ts,80
clarity,GET,/foco,/foco,clarity/foco.controller.ts,31
clarity,POST,/foco,/foco,clarity/foco.controller.ts,37
clarity,DELETE,/foco/:id,/foco/:param,clarity/foco.controller.ts,59
clarity,PATCH,/foco/:id,/foco/:param,clarity/foco.controller.ts,43
clarity,GET,/foco/estadisticas,/foco/estadisticas,clarity/foco.controller.ts,79
clarity,POST,/foco/reordenar,/foco/reordenar,clarity/foco.controller.ts,65
clarity,GET,/gerencia/resumen,/gerencia/resumen,clarity/reportes.controller.ts,50
clarity,GET,/kpis/dashboard,/kpis/dashboard,clarity/kpis.controller.ts,18
clarity,GET,/notas,/notas,clarity/notas.controller.ts,28
clarity,POST,/notas,/notas,clarity/notas.controller.ts,36
clarity,DELETE,/notas/:id,/notas/:param,clarity/notas.controller.ts,67
clarity,PATCH,/notas/:id,/notas/:param,clarity/notas.controller.ts,48
clarity,POST,/notes,/notes,clarity/notas.controller.ts,37
clarity,PATCH,/notes/:id,/notes/:param,clarity/notas.controller.ts,49
clarity,PUT,/notes/:id,/notes/:param,clarity/notas.controller.ts,50
clarity,GET,/organizacion/catalogo,/organizacion/catalogo,clarity/organizacion.controller.ts,11
clarity,GET,/organizacion/estructura-usuarios,/organizacion/estructura-usuarios,clarity/organizacion.controller.ts,26
clarity,GET,/planning/workload,/planning/workload,clarity/clarity.controller.ts,218
clarity,GET,/proyectos,/proyectos,clarity/proyectos.controller.ts,39
clarity,POST,/proyectos,/proyectos,clarity/proyectos.controller.ts,46
clarity,DELETE,/proyectos/:id,/proyectos/:param,clarity/proyectos.controller.ts,75
clarity,GET,/proyectos/:id,/proyectos/:param,clarity/proyectos.controller.ts,61
clarity,PATCH,/proyectos/:id,/proyectos/:param,clarity/proyectos.controller.ts,67
clarity,POST,/proyectos/:id/clonar,/proyectos/:param/clonar,clarity/proyectos.controller.ts,52
clarity,GET,/proyectos/:id/colaboradores,/proyectos/:param/colaboradores,clarity/proyectos.controller.ts,101
clarity,POST,/proyectos/:id/colaboradores,/proyectos/:param/colaboradores,clarity/proyectos.controller.ts,110
clarity,DELETE,/proyectos/:id/colaboradores/:idUsuario,/proyectos/:param/colaboradores/:param,clarity/proyectos.controller.ts,155
clarity,PATCH,/proyectos/:id/colaboradores/:idUsuario,/proyectos/:param/colaboradores/:param,clarity/proyectos.controller.ts,131
clarity,GET,/proyectos/:id/historial,/proyectos/:param/historial,clarity/proyectos.controller.ts,87
clarity,GET,/proyectos/:id/mis-permisos,/proyectos/:param/mis-permisos,clarity/proyectos.controller.ts,171
clarity,GET,/proyectos/:id/tareas,/proyectos/:param/tareas,clarity/proyectos.controller.ts,81
clarity,GET,/proyectos/roles-colaboracion,/proyectos/roles-colaboracion,clarity/proyectos.controller.ts,34
clarity,GET,/recordatorios,/recordatorios,clarity/clarity.controller.ts,156
clarity,DELETE,/recordatorios/:id,/recordatorios/:param,clarity/clarity.controller.ts,151
clarity,GET,/reportes/bloqueos-trend,/reportes/bloqueos-trend,clarity/reportes.controller.ts,35
clarity,GET,/reportes/equipo-performance,/reportes/equipo-performance,clarity/reportes.controller.ts,41
clarity,GET,/reportes/exportar,/reportes/exportar,clarity/reportes.controller.ts,67
clarity,GET,/reportes/productividad,/reportes/productividad,clarity/reportes.controller.ts,29
clarity,GET,/reports/agenda-compliance,/reports/agenda-compliance,clarity/reportes.controller.ts,56
clarity,POST,/seed,/seed,clarity/seed.controller.ts,8
clarity,DELETE,/tareas/:id,/tareas/:param,clarity/clarity.controller.ts,181
clarity,GET,/tareas/:id,/tareas/:param,clarity/clarity.controller.ts,116
clarity,PATCH,/tareas/:id,/tareas/:param,clarity/clarity.controller.ts,122
clarity,POST,/tareas/:id/avance,/tareas/:param/avance,clarity/clarity.controller.ts,208
clarity,GET,/tareas/:id/bloqueos,/tareas/:param/bloqueos,clarity/clarity.controller.ts,241
clarity,POST,/tareas/:id/clonar,/tareas/:param/clonar,clarity/clarity.controller.ts,128
clarity,POST,/tareas/:id/descartar,/tareas/:param/descartar,clarity/clarity.controller.ts,187
clarity,POST,/tareas/:id/instancia,/tareas/:param/instancia,clarity/recurrencia.controller.ts,61
clarity,GET,/tareas/:id/instancias,/tareas/:param/instancias,clarity/recurrencia.controller.ts,84
clarity,POST,/tareas/:id/mover,/tareas/:param/mover,clarity/clarity.controller.ts,193
clarity,POST,/tareas/:id/participantes,/tareas/:param/participantes,clarity/clarity.controller.ts,140
clarity,POST,/tareas/:id/recordatorio,/tareas/:param/recordatorio,clarity/clarity.controller.ts,146
clarity,GET,/tareas/:id/recurrencia,/tareas/:param/recurrencia,clarity/recurrencia.controller.ts,55
clarity,POST,/tareas/:id/recurrencia,/tareas/:param/recurrencia,clarity/recurrencia.controller.ts,26
clarity,POST,/tareas/:id/revalidar,/tareas/:param/revalidar,clarity/clarity.controller.ts,134
clarity,GET,/tareas/:idTarea/avance-mensual,/tareas/:param/avance-mensual,clarity/avance-mensual.controller.ts,19
clarity,POST,/tareas/:idTarea/avance-mensual,/tareas/:param/avance-mensual,clarity/avance-mensual.controller.ts,35
clarity,DELETE,/tareas/avance/:id,/tareas/avance/:param,clarity/clarity.controller.ts,213
clarity,GET,/tareas/historico/:carnet,/tareas/historico/:param,clarity/clarity.controller.ts,171
clarity,POST,/tareas/masiva,/tareas/masiva,clarity/clarity.controller.ts,94
clarity,GET,/tareas/mias,/tareas/mias,clarity/clarity.controller.ts,103
clarity,POST,/tareas/rapida,/tareas/rapida,clarity/clarity.controller.ts,74
clarity,POST,/tareas/solicitud-cambio,/tareas/solicitud-cambio,clarity/clarity.controller.ts,230
clarity,POST,/tareas/solicitud-cambio/:id/resolver,/tareas/solicitud-cambio/:param/resolver,clarity/clarity.controller.ts,257
clarity,GET,/tareas/solicitud-cambio/pendientes,/tareas/solicitud-cambio/pendientes,clarity/clarity.controller.ts,251
clarity,POST,/tasks,/tasks,clarity/clarity.controller.ts,74
clarity,PATCH,/tasks/:id,/tasks/:param,clarity/clarity.controller.ts,122
clarity,POST,/tasks/:id/clone,/tasks/:param/clone,clarity/clarity.controller.ts,128
clarity,GET,/tasks/me,/tasks/me,clarity/clarity.controller.ts,103
common,POST,/notifications/device-token,/notifications/device-token,common/notification.controller.ts,18
common,GET,/notifications/status,/notifications/status,common/notification.controller.ts,164
common,GET,/notifications/test-email,/notifications/test-email,common/notification.controller.ts,80
common,GET,/notifications/test-email-public,/notifications/test-email-public,common/notification.controller.ts,121
common,GET,/notifications/test-overdue-redesign,/notifications/test-overdue-redesign,common/notification.controller.ts,190
common,GET,/notifications/test-push,/notifications/test-push,common/notification.controller.ts,45
diagnostico,GET,/diagnostico/contexto,/diagnostico/contexto,diagnostico/diagnostico.controller.ts,69
diagnostico,GET,/diagnostico/ping,/diagnostico/ping,diagnostico/diagnostico.controller.ts,17
